Start(South Africa Standard Time),Stop(South Africa Standard Time),Trend_Period,Vrms_L1N_avg,Irms_L1_avg,Vthd_L1N_avg,Ithd_L1_avg,Frequency_avg,PowerP_L1_avg,PowerS_L1_avg,PowerN_L1_avg,PowerPfund_L1_avg,PowerSfund_L1_avg,PowerQfund_L1_avg,PfFwdRev_L1_avg,dPfFwdRev_L1_avg,ActiveEnergy_L1_avg,ApparentEnergy_L1_avg,NonActiveEnergy_L1_avg,Vrms_Fundamental_L1N_avg,Irms_Fundamental_L1_avg
2021-10-03 11:00:00.000,2021-10-03 11:00:01.000,1,229.232,0.0286044,2.93386,1.#QNAN,49.8578,-1.27365,6.55704,6.43215,-1.27338,5.28809,-5.13248,1.#QNAN,1.#QNAN,-0.000353792,0.0018214,0.00178671,229.123,0.0231721
2021-10-03 11:00:01.000,2021-10-03 11:00:02.000,1,229.221,0.0311932,2.94054,1.#QNAN,49.8551,-1.23448,7.15013,7.04276,-1.23449,5.24791,-5.10064,1.#QNAN,1.#QNAN,-0.000342911,0.00198615,0.00195632,229.115,0.0229848
2021-10-03 11:00:02.000,2021-10-03 11:00:03.000,1,229.221,0.0300951,2.93901,1.#QNAN,49.8532,-1.19966,6.89842,6.79331,-1.20535,5.03346,-4.88701,1.#QNAN,1.#QNAN,-0.000333239,0.00191623,0.00188703,229.115,0.0220327
2021-10-03 11:00:03.000,2021-10-03 11:00:04.000,1,229.114,0.0284538,2.93671,1.#QNAN,49.8509,-1.20255,6.51916,6.40729,-1.20764,4.91049,-4.75968,1.#QNAN,1.#QNAN,-0.000334043,0.00181088,0.0017798,229.01,0.0215563
2021-10-03 11:00:04.000,2021-10-03 11:00:05.000,1,229.104,0.0284452,2.93601,1.#QNAN,49.8491,-1.18887,6.5169,6.40754,-1.19404,5.08751,-4.9454,1.#QNAN,1.#QNAN,-0.000330242,0.00181025,0.00177987,228.998,0.0223173
2021-10-03 11:00:05.000,2021-10-03 11:00:06.000,1,229.102,0.0281513,2.93495,1.#QNAN,49.8484,-1.19892,6.44952,6.3371,-1.20081,5.16746,-5.026,1.#QNAN,1.#QNAN,-0.000333033,0.00179153,0.00176031,228.995,0.0226684
2021-10-03 11:00:06.000,2021-10-03 11:00:07.000,1,229.108,0.029079,2.92797,1.#QNAN,49.8485,-1.22165,6.66222,6.54926,-1.22058,5.15964,-5.01319,1.#QNAN,1.#QNAN,-0.000339346,0.00185062,0.00181924,229.002,0.0226082
2021-10-03 11:00:07.000,2021-10-03 11:00:08.000,1,229.108,0.0310486,2.93449,1.#QNAN,49.8493,-1.07333,7.11347,7.03203,-1.07418,5.05698,-4.94157,1.#QNAN,1.#QNAN,-0.000298147,0.00197596,0.00195334,229.002,0.0221864
2021-10-03 11:00:08.000,2021-10-03 11:00:09.000,1,229.166,0.0303309,2.94204,1.#QNAN,49.8554,-0.969173,6.95079,6.88289,-0.965223,5.24864,-5.15913,1.#QNAN,1.#QNAN,-0.000269215,0.00193078,0.00191191,229.059,0.0230078
2021-10-03 11:00:09.000,2021-10-03 11:00:10.000,1,229.177,0.0287421,2.94387,1.#QNAN,49.8613,-1.11114,6.58704,6.49265,-1.11078,5.22501,-5.10557,1.#QNAN,1.#QNAN,-0.00030865,0.00182973,0.00180351,229.067,0.0228856
