Start(South Africa Standard Time),Stop(South Africa Standard Time),Trend_Period,Vrms_L1N_avg,Irms_L1_avg,Vthd_L1N_avg,Ithd_L1_avg,Frequency_avg,PowerP_L1_avg,PowerS_L1_avg,PowerN_L1_avg,PowerPfund_L1_avg,PowerSfund_L1_avg,PowerQfund_L1_avg,PfFwdRev_L1_avg,dPfFwdRev_L1_avg,ActiveEnergy_L1_avg,ApparentEnergy_L1_avg,NonActiveEnergy_L1_avg,Vrms_Fundamental_L1N_avg,Irms_Fundamental_L1_avg
2021-10-05 13:02:29.000,2021-10-05 13:02:30.000,1,229.917,0.015802,2.62625,1.#QNAN,49.891,-0.295737,3.63314,3.62109,-0.296588,0.713961,0.649442,1.#QNAN,1.#QNAN,-8.21491e-005,0.00100921,0.00100586,229.842,0.00405232
2021-10-05 13:02:30.000,2021-10-05 13:02:31.000,1,229.907,0.0196039,2.64176,1.#QNAN,49.8906,-0.19201,4.50708,4.50298,-0.193391,0.347509,0.288725,1.#QNAN,1.#QNAN,-5.3336e-005,0.00125197,0.00125083,229.83,0.00280059
2021-10-05 13:02:31.000,2021-10-05 13:02:32.000,1,229.888,0.0201044,2.64688,1.#QNAN,49.8913,-0.0608571,4.62176,4.62135,-0.0627834,0.733283,0.730591,1.#QNAN,1.#QNAN,-1.69048e-005,0.00128382,0.00128371,229.814,0.00397544
2021-10-05 13:02:32.000,2021-10-05 13:02:33.000,1,229.927,0.0200888,2.63933,1.#QNAN,49.8904,-0.00410404,4.61895,4.61895,-0.00603158,0.635141,0.635113,1.#QNAN,1.#QNAN,-1.14001e-006,0.00128304,0.00128304,229.852,0.00379748
2021-10-05 13:02:33.000,2021-10-05 13:02:34.000,1,229.868,0.0190106,2.62801,1.#QNAN,49.8899,0.0025755,4.36993,4.36993,-9.99331e-005,0.657686,0.657686,1.#QNAN,1.#QNAN,7.15416e-007,0.00121387,0.00121387,229.794,0.004327
2021-10-05 13:02:34.000,2021-10-05 13:02:35.000,1,229.858,0.0221927,2.63778,1.#QNAN,49.8881,0.0228278,5.10117,5.10112,0.0193309,0.681356,0.681082,1.#QNAN,1.#QNAN,6.34105e-006,0.00141699,0.00141698,229.781,0.00416339
2021-10-05 13:02:35.000,2021-10-05 13:02:36.000,1,229.871,0.0204713,2.63877,1.#QNAN,49.8862,-0.055527,4.70577,4.70545,-0.0588606,0.53577,0.532526,1.#QNAN,1.#QNAN,-1.54242e-005,0.00130716,0.00130707,229.796,0.00353227
2021-10-05 13:02:36.000,2021-10-05 13:02:37.000,1,229.837,0.0195511,2.62489,1.#QNAN,49.8844,-0.0628697,4.49356,4.49312,-0.0649172,0.438637,0.433807,1.#QNAN,1.#QNAN,-1.74638e-005,0.00124821,0.00124809,229.763,0.00301467
2021-10-05 13:02:37.000,2021-10-05 13:02:38.000,1,229.769,0.0364251,2.62138,1.#QNAN,49.8825,-0.0377678,8.36938,8.3693,-0.0397101,0.759978,0.758939,1.#QNAN,1.#QNAN,-1.04911e-005,0.00232483,0.0023248,229.696,0.00525094
2021-10-05 13:02:38.000,2021-10-05 13:02:39.000,1,229.732,0.0947234,2.62362,1.#QNAN,49.8818,-0.225509,21.7609,21.7598,-0.227124,0.673975,0.634552,1.#QNAN,1.#QNAN,-6.26414e-005,0.00604471,0.00604438,229.655,0.00777573
2021-10-05 13:02:39.000,2021-10-05 13:02:40.000,1,229.7,0.0208441,2.61693,1.#QNAN,49.8794,-0.260553,4.78788,4.78079,-0.262384,0.572744,0.509108,1.#QNAN,1.#QNAN,-7.23758e-005,0.00132997,0.001328,229.625,0.00374956
2021-10-05 13:02:40.000,2021-10-05 13:02:41.000,1,229.688,0.0185849,2.63309,1.#QNAN,49.8783,-0.224109,4.26871,4.26282,-0.224892,0.707313,0.670608,1.#QNAN,1.#QNAN,-6.22526e-005,0.00118575,0.00118412,229.615,0.0038338
2021-10-05 13:02:41.000,2021-10-05 13:02:42.000,1,229.719,0.0200827,2.62063,1.#QNAN,49.8789,-0.275698,4.61336,4.60512,-0.277766,0.636947,0.573191,1.#QNAN,1.#QNAN,-7.65827e-005,0.00128149,0.0012792,229.64,0.00421657
