Start(South Africa Standard Time),Stop(South Africa Standard Time),Trend_Period,Vrms_L1N_avg,Irms_L1_avg,Vthd_L1N_avg,Ithd_L1_avg,Frequency_avg,PowerP_L1_avg,PowerS_L1_avg,PowerN_L1_avg,PowerPfund_L1_avg,PowerSfund_L1_avg,PowerQfund_L1_avg,PfFwdRev_L1_avg,dPfFwdRev_L1_avg,ActiveEnergy_L1_avg,ApparentEnergy_L1_avg,NonActiveEnergy_L1_avg,Vrms_Fundamental_L1N_avg,Irms_Fundamental_L1_avg
2021-10-06 07:11:20.000,2021-10-06 07:11:21.000,1,222,0.0257202,2.84656,1.#QNAN,49.9462,-2.76437,5.70989,4.99611,-2.76374,2.80279,0.466218,1.#QNAN,1.#QNAN,-0.00076788,0.00158608,0.00138781,221.918,0.012861
2021-10-06 07:11:21.000,2021-10-06 07:11:22.000,1,222.005,0.0200029,2.84996,1.#QNAN,49.9436,-2.6673,4.44074,3.55044,-2.66792,2.71055,0.478844,1.#QNAN,1.#QNAN,-0.000740918,0.00123354,0.000986233,221.929,0.0126307
2021-10-06 07:11:22.000,2021-10-06 07:11:23.000,1,221.996,0.0221455,2.8424,1.#QNAN,49.9404,-2.57564,4.9162,4.18749,-2.57435,2.62236,0.499494,1.#QNAN,1.#QNAN,-0.000715455,0.00136561,0.00116319,221.914,0.0120361
2021-10-06 07:11:23.000,2021-10-06 07:11:24.000,1,221.952,0.0203844,2.851,1.#QNAN,49.9381,-2.77274,4.52438,3.57517,-2.76997,2.79194,0.349605,1.#QNAN,1.#QNAN,-0.000770206,0.00125677,0.000993104,221.87,0.012788
2021-10-06 07:11:24.000,2021-10-06 07:11:25.000,1,221.993,0.0217981,2.85132,1.#QNAN,49.9361,-2.44608,4.83902,4.17526,-2.44372,2.49224,0.4894,1.#QNAN,1.#QNAN,-0.000679466,0.00134417,0.0011598,221.912,0.0114962
2021-10-06 07:11:25.000,2021-10-06 07:11:26.000,1,221.919,0.022016,2.84972,1.#QNAN,49.9352,-2.50353,4.88577,4.1956,-2.50084,2.52609,0.356251,1.#QNAN,1.#QNAN,-0.000695426,0.00135716,0.00116544,221.837,0.0116468
2021-10-06 07:11:26.000,2021-10-06 07:11:27.000,1,222.108,0.0216856,2.88197,1.#QNAN,49.9331,-2.35763,4.81654,4.20007,-2.35734,2.40014,0.451243,1.#QNAN,1.#QNAN,-0.000654896,0.00133793,0.00116669,222.026,0.0110787
2021-10-06 07:11:27.000,2021-10-06 07:11:28.000,1,222.005,0.0264937,2.88015,1.#QNAN,49.9308,-2.5251,5.88174,5.31213,-2.52427,2.54494,0.323708,1.#QNAN,1.#QNAN,-0.000701417,0.00163382,0.00147559,221.923,0.0118272
2021-10-06 07:11:28.000,2021-10-06 07:11:29.000,1,222.034,0.0226519,2.88099,1.#QNAN,49.9286,-2.42277,5.02949,4.40749,-2.42052,2.43629,0.276732,1.#QNAN,1.#QNAN,-0.00067299,0.00139708,0.0012243,221.958,0.011147
2021-10-06 07:11:29.000,2021-10-06 07:11:30.000,1,222.032,0.0271121,2.87979,1.#QNAN,49.9254,-2.49334,6.01977,5.47914,-2.49241,2.51964,0.369446,1.#QNAN,1.#QNAN,-0.000692594,0.00167216,0.00152198,221.952,0.0116876
2021-10-06 07:11:30.000,2021-10-06 07:11:31.000,1,222.022,0.0276731,2.8695,1.#QNAN,49.9235,-2.82165,6.14404,5.4578,-2.81935,2.87653,0.570677,1.#QNAN,1.#QNAN,-0.000783792,0.00170668,0.00151605,221.938,0.013055
2021-10-06 07:11:31.000,2021-10-06 07:11:32.000,1,221.986,0.022276,2.87022,1.#QNAN,49.9218,-2.57391,4.94497,4.22229,-2.5724,2.62061,0.500372,1.#QNAN,1.#QNAN,-0.000714974,0.0013736,0.00117286,221.904,0.0120625
2021-10-06 07:11:32.000,2021-10-06 07:11:33.000,1,221.845,0.0203003,2.867,1.#QNAN,49.9192,-2.5702,4.50352,3.69808,-2.56827,2.60636,0.443963,1.#QNAN,1.#QNAN,-0.000713943,0.00125098,0.00102724,221.765,0.0120669
2021-10-06 07:11:33.000,2021-10-06 07:11:34.000,1,221.839,0.0250141,2.87238,1.#QNAN,49.9159,-2.56066,5.54912,4.92298,-2.55985,2.59591,0.431184,1.#QNAN,1.#QNAN,-0.000711294,0.00154142,0.0013675,221.761,0.0120888
2021-10-06 07:11:34.000,2021-10-06 07:11:35.000,1,221.81,0.0259902,2.86536,1.#QNAN,49.9141,-2.37213,5.76489,5.25423,-2.37172,2.40607,0.405151,1.#QNAN,1.#QNAN,-0.000658925,0.00160136,0.00145951,221.735,0.0111639
2021-10-06 07:11:35.000,2021-10-06 07:11:36.000,1,221.816,0.0206557,2.87541,1.#QNAN,49.9133,-2.52317,4.58176,3.82442,-2.52377,2.55498,0.398151,1.#QNAN,1.#QNAN,-0.00070088,0.00127271,0.00106234,221.735,0.011846
2021-10-06 07:11:36.000,2021-10-06 07:11:37.000,1,222.049,0.0212041,2.8792,1.#QNAN,49.9131,-2.4669,4.70837,4.01037,-2.46673,2.50233,0.420571,1.#QNAN,1.#QNAN,-0.000685251,0.00130788,0.00111399,221.967,0.0115538
2021-10-06 07:11:37.000,2021-10-06 07:11:38.000,1,222.049,0.0232519,2.8832,1.#QNAN,49.9153,-2.5797,5.16305,4.47239,-2.57863,2.60046,0.336263,1.#QNAN,1.#QNAN,-0.000716584,0.00143418,0.00124233,221.963,0.0120029
2021-10-06 07:11:38.000,2021-10-06 07:11:39.000,1,222.059,0.0199442,2.88324,1.#QNAN,49.9156,-2.32166,4.4288,3.7715,-2.31971,2.34359,0.333756,1.#QNAN,1.#QNAN,-0.000644906,0.00123022,0.00104764,221.973,0.0107989
2021-10-06 07:11:39.000,2021-10-06 07:11:40.000,1,222.052,0.0205942,2.88551,1.#QNAN,49.917,-2.80726,4.57299,3.60991,-2.80672,2.83403,0.392461,1.#QNAN,1.#QNAN,-0.000779795,0.00127027,0.00100275,221.967,0.012918
2021-10-06 07:11:40.000,2021-10-06 07:11:41.000,1,222.062,0.0215913,2.87824,1.#QNAN,49.9194,-2.5286,4.79462,4.07364,-2.52697,2.55923,0.405096,1.#QNAN,1.#QNAN,-0.000702388,0.00133184,0.00113157,221.981,0.0117578
2021-10-06 07:11:41.000,2021-10-06 07:11:42.000,1,222.951,0.0242432,2.88338,1.#QNAN,49.9218,-2.64898,5.40504,4.71141,-2.64502,2.68527,0.463158,1.#QNAN,1.#QNAN,-0.000735828,0.0015014,0.00130872,222.869,0.0122377
2021-10-06 07:11:42.000,2021-10-06 07:11:43.000,1,223.051,0.02296,2.87943,1.#QNAN,49.9246,-2.47487,5.12124,4.48354,-2.47314,2.49364,0.319098,1.#QNAN,1.#QNAN,-0.000687464,0.00142257,0.00124543,222.972,0.0114247
2021-10-06 07:11:43.000,2021-10-06 07:11:44.000,1,222.955,0.0228082,2.87393,1.#QNAN,49.9262,-2.6412,5.0852,4.34549,-2.63969,2.65604,0.294248,1.#QNAN,1.#QNAN,-0.000733667,0.00141256,0.00120708,222.876,0.0120079
2021-10-06 07:11:44.000,2021-10-06 07:11:45.000,1,223.113,0.021139,2.87053,1.#QNAN,49.9272,-2.52026,4.71637,3.98653,-2.51868,2.54728,0.380634,1.#QNAN,1.#QNAN,-0.000700073,0.0013101,0.00110737,223.03,0.0116701
2021-10-06 07:11:45.000,2021-10-06 07:11:46.000,1,223.092,0.024085,2.8651,1.#QNAN,49.9298,-2.65793,5.37315,4.66971,-2.65637,2.68002,0.355307,1.#QNAN,1.#QNAN,-0.000738313,0.00149254,0.00129714,223.01,0.0122081
2021-10-06 07:11:46.000,2021-10-06 07:11:47.000,1,223.105,0.0205837,2.86909,1.#QNAN,49.9309,-2.64733,4.59232,3.75247,-2.64623,2.67552,0.394801,1.#QNAN,1.#QNAN,-0.000735371,0.00127565,0.00104235,223.027,0.0122167
2021-10-06 07:11:47.000,2021-10-06 07:11:48.000,1,223.064,0.0203193,2.86089,1.#QNAN,49.9311,-2.53645,4.5325,3.75632,-2.53386,2.55266,0.309302,1.#QNAN,1.#QNAN,-0.000704571,0.00125903,0.00104342,222.982,0.0116317
2021-10-06 07:11:48.000,2021-10-06 07:11:49.000,1,223.057,0.0225245,2.86188,1.#QNAN,49.9306,-2.73001,5.02426,4.21784,-2.72785,2.75473,0.383851,1.#QNAN,1.#QNAN,-0.000758336,0.00139563,0.00117162,222.977,0.0126044
2021-10-06 07:11:49.000,2021-10-06 07:11:50.000,1,223.088,0.0247018,2.8609,1.#QNAN,49.9306,-2.46246,5.51067,4.92988,-2.4629,2.50987,0.483312,1.#QNAN,1.#QNAN,-0.000684017,0.00153074,0.00136941,223.004,0.0114645
2021-10-06 07:11:50.000,2021-10-06 07:11:51.000,1,223.072,0.0254771,2.86335,1.#QNAN,49.9305,-2.7316,5.68322,4.9837,-2.72865,2.76399,0.440598,1.#QNAN,1.#QNAN,-0.000758778,0.00157867,0.00138436,222.996,0.0126186
2021-10-06 07:11:51.000,2021-10-06 07:11:52.000,1,223.097,0.02158,2.85685,1.#QNAN,49.9315,-2.63382,4.81443,4.03011,-2.6336,2.65944,0.369861,1.#QNAN,1.#QNAN,-0.000731616,0.00133734,0.00111947,223.014,0.0123071
