Start(South Africa Standard Time),Stop(South Africa Standard Time),Trend_Period,Vrms_L1N_avg,Irms_L1_avg,Vthd_L1N_avg,Ithd_L1_avg,Frequency_avg,PowerP_L1_avg,PowerS_L1_avg,PowerN_L1_avg,PowerPfund_L1_avg,PowerSfund_L1_avg,PowerQfund_L1_avg,PfFwdRev_L1_avg,dPfFwdRev_L1_avg,ActiveEnergy_L1_avg,ApparentEnergy_L1_avg,NonActiveEnergy_L1_avg,Vrms_Fundamental_L1N_avg,Irms_Fundamental_L1_avg
2021-10-06 19:57:26.000,2021-10-06 19:57:27.000,1,226.717,0.023039,2.70315,1.#QNAN,49.9159,-0.37028,5.22333,5.21019,-0.368704,0.395694,0.143636,1.#QNAN,1.#QNAN,-0.000102856,0.00145092,0.00144727,226.641,0.00314178
2021-10-06 19:57:27.000,2021-10-06 19:57:28.000,1,226.711,0.0166917,2.70199,1.#QNAN,49.9154,0.0327699,3.78418,3.78404,0.0323562,0.169641,0.166527,1.#QNAN,1.#QNAN,9.10275e-006,0.00105116,0.00105112,226.633,0.00208573
2021-10-06 19:57:28.000,2021-10-06 19:57:29.000,1,226.668,0.022746,2.69755,1.#QNAN,49.914,-0.0943591,5.1558,5.15494,-0.0933538,0.215191,0.193887,1.#QNAN,1.#QNAN,-2.62109e-005,0.00143217,0.00143193,226.591,0.00337226
2021-10-06 19:57:29.000,2021-10-06 19:57:30.000,1,226.671,0.0165096,2.69386,1.#QNAN,49.9122,-0.0848477,3.74226,3.7413,-0.0850789,0.229965,0.213648,1.#QNAN,1.#QNAN,-2.35688e-005,0.00103952,0.00103925,226.599,0.00278134
2021-10-06 19:57:30.000,2021-10-06 19:57:31.000,1,226.675,0.015364,2.69873,1.#QNAN,49.9091,0.041442,3.48264,3.48239,0.0411883,0.163093,0.157807,1.#QNAN,1.#QNAN,1.15117e-005,0.0009674,0.000967332,226.596,0.00230781
2021-10-06 19:57:31.000,2021-10-06 19:57:32.000,1,226.709,0.0215579,2.70318,1.#QNAN,49.9058,-0.0748498,4.88737,4.8868,-0.0748824,0.220633,0.207536,1.#QNAN,1.#QNAN,-2.07916e-005,0.0013576,0.00135744,226.631,0.00246141
2021-10-06 19:57:32.000,2021-10-06 19:57:33.000,1,226.665,0.0186981,2.70208,1.#QNAN,49.9029,0.0447978,4.23821,4.23797,0.0453634,0.257471,0.253443,1.#QNAN,1.#QNAN,1.24438e-005,0.00117728,0.00117721,226.587,0.00265363
2021-10-06 19:57:33.000,2021-10-06 19:57:34.000,1,226.683,0.0135252,2.70377,1.#QNAN,49.9001,-0.0818605,3.06593,3.06484,-0.0810949,0.184919,0.166188,1.#QNAN,1.#QNAN,-1.81912e-005,0.000681318,0.000681075,226.604,0.00198639
2021-10-06 19:57:34.000,2021-10-06 19:57:35.000,1,226.64,0.020851,2.69469,1.#QNAN,49.8974,0.161604,4.72568,4.72292,0.161954,0.164873,-0.0308843,1.#QNAN,1.#QNAN,4.48899e-005,0.00131269,0.00131192,226.564,0.00262179
2021-10-06 19:57:35.000,2021-10-06 19:57:36.000,1,226.645,0.0242447,2.69995,1.#QNAN,49.8958,-0.0231673,5.49494,5.49489,-0.0242061,0.0296924,-0.0171961,1.#QNAN,1.#QNAN,-6.43535e-006,0.00152637,0.00152636,226.568,0.00186541
2021-10-06 19:57:36.000,2021-10-06 19:57:37.000,1,226.67,0.0224852,2.70485,1.#QNAN,49.8941,-0.0653192,5.09674,5.09632,-0.0647856,0.132356,0.115417,1.#QNAN,1.#QNAN,-1.81442e-005,0.00141576,0.00141564,226.595,0.00269979
2021-10-06 19:57:37.000,2021-10-06 19:57:38.000,1,226.65,0.0178634,2.70091,1.#QNAN,49.8929,0.031328,4.04872,4.0486,0.0298432,0.279775,0.278179,1.#QNAN,1.#QNAN,8.70223e-006,0.00112465,0.00112461,226.571,0.00288288
2021-10-06 19:57:38.000,2021-10-06 19:57:39.000,1,226.597,0.0171262,2.69163,1.#QNAN,49.8935,0.0067839,3.88076,3.88076,0.00788472,0.0553207,0.0547559,1.#QNAN,1.#QNAN,1.88442e-006,0.00107799,0.00107799,226.522,0.00251234
2021-10-06 19:57:39.000,2021-10-06 19:57:40.000,1,225.258,0.0182657,2.69537,1.#QNAN,49.8955,0.00699102,4.11449,4.11449,0.00651033,0.202519,0.202414,1.#QNAN,1.#QNAN,1.94195e-006,0.00114292,0.00114291,225.184,0.00277752
2021-10-06 19:57:40.000,2021-10-06 19:57:41.000,1,225.226,0.0180641,2.69573,1.#QNAN,49.8951,-0.00202234,4.0685,4.0685,-0.000671163,0.0953296,0.0953272,1.#QNAN,1.#QNAN,-5.6176e-007,0.00113014,0.00113014,225.147,0.002196
